Feature,Mean Error,Stddev Error
sasa_N,0.18446589,0.15522194
cx_N,0.0048867497,0.0046478403
rd_value_N,0.04199427,0.055931687
sasa_CA,0.022272484,0.018808238
cx_CA,0.005612309,0.0062403562
rd_value_CA,0.04849321,0.0528639
sasa_C,0.028158568,0.023105018
cx_C,0.006105007,0.005922663
rd_value_C,0.05023144,0.053771473
sasa_O,0.037325934,0.02986637
cx_O,0.0053036422,0.0055960435
rd_value_O,0.052196577,0.06547217
cx_min,0.0048982543,0.0052558486
cx_max,0.006994802,0.0066986643
cx_avg,0.0057473197,0.005715008
cx_std,0.0049948865,0.0052590277
u12_dist_0,0.74517906,0.5869022
u13_dist_0,0.9268405,0.754649
u14_dist_0,0.7176192,0.5969616
u15_dist_0,0.8507395,0.6957364
u16_dist_0,0.89215463,0.74411124
u17_dist_0,0.65674806,0.56327724
u18_dist_0,0.9095997,0.7337958
u19_dist_0,0.9017689,0.77888054
u20_dist_0,0.50395155,0.5638527
u21_dist_0,0.3993562,0.438685
u22_dist_0,0.47655568,0.5750359
u23_dist_0,0.37733173,0.4074776
u25_dist_0,0.34327787,0.3597116
u26_dist_0,0.537937,0.6568653
u27_dist_0,0.43615362,0.48759767
u28_dist_0,0.510975,0.5865853
t12_cos_0,0.082540475,0.053639382
t23_cos_0,0.06366906,0.047366183
t45_cos_0,0.20054956,0.1637315
t56_cos_0,0.21764398,0.1753213
t78_cos_0,0.19048549,0.1574569
t89_cos_0,0.33347183,0.20978966
t108_cos_0,0.21929048,0.16196556
t811_cos_0,0.3485691,0.22105408
t110_cos_0,0.25927076,0.2244546
t311_cos_0,0.23964146,0.22189155
t28_cos_0,0.3614375,0.27870613
t47_cos_0,0.3099063,0.22526953
t69_cos_0,0.30308235,0.22880057
t75_cos_0,0.21234094,0.16963029
t95_cos_0,0.22588328,0.17716005
t42_cos_0,0.12341248,0.10472931
t62_cos_0,0.12985045,0.103079624
t25_cos_0,0.23430797,0.19290985
t85_cos_0,0.2755225,0.20321408
dihedral_cos_selfai_selfbi_selfbj_selfaj_0,0.45426643,0.33677942
dihedral_sin_selfai_selfbi_selfbj_selfaj_0,0.5464336,0.32401028
dihedral_cos_minusi_selfi_selfj_minusj_0,0.42793033,0.32800415
dihedral_sin_minusi_selfi_selfj_minusj_0,0.5620193,0.30798417
dihedral_cos_minusi_selfi_selfj_plusj_0,0.42795897,0.31787813
dihedral_sin_minusi_selfi_selfj_plusj_0,0.5207208,0.33700502
dihedral_cos_plusi_selfi_selfj_minusj_0,0.4343519,0.31962308
dihedral_sin_plusi_selfi_selfj_minusj_0,0.5357922,0.3368945
dihedral_cos_plusi_selfi_selfj_plusj_0,0.41268393,0.31734878
dihedral_sin_plusi_selfi_selfj_plusj_0,0.55739766,0.32068086
linear_foldseek_b_0,0.33442837,0.41996622
log_foldseek_b_0,0.36315757,0.43368825
linear_foldseek_a_0,0.33273003,0.30249003
log_foldseek_a_0,0.23069343,0.26878446
u12_dist_1,0.9131508,0.80382884
u13_dist_1,0.8908291,0.73776186
u14_dist_1,0.6014848,0.513357
u15_dist_1,0.84948266,0.74625134
u16_dist_1,0.8350026,0.7242199
u17_dist_1,0.5798182,0.4863108
u18_dist_1,0.94945294,0.77705866
u19_dist_1,0.55854493,0.4634696
u20_dist_1,0.63253164,0.7029907
u21_dist_1,0.47556475,0.5168923
u22_dist_1,0.56962514,0.67466426
u23_dist_1,0.46027678,0.4817157
u25_dist_1,0.45664844,0.5003472
u26_dist_1,0.53650045,0.59237784
u27_dist_1,0.46842334,0.49672043
u28_dist_1,0.631514,0.69716007
t12_cos_1,0.10953557,0.05391743
t23_cos_1,0.05017505,0.03837164
t45_cos_1,0.19287986,0.15625072
t56_cos_1,0.21024042,0.17120883
t78_cos_1,0.18805514,0.16359332
t89_cos_1,0.33941406,0.20998867
t108_cos_1,0.22622873,0.16647954
t811_cos_1,0.35782066,0.22680847
t110_cos_1,0.26524246,0.24457024
t311_cos_1,0.2632269,0.24467573
t28_cos_1,0.38391468,0.26754898
t47_cos_1,0.34961525,0.24958725
t69_cos_1,0.33820742,0.24263027
t75_cos_1,0.21058212,0.16246673
t95_cos_1,0.20666924,0.1649246
t42_cos_1,0.1252724,0.10635583
t62_cos_1,0.12982461,0.10334494
t25_cos_1,0.2403736,0.20028208
t85_cos_1,0.26892784,0.20929979
dihedral_cos_selfai_selfbi_selfbj_selfaj_1,0.46805978,0.32704043
dihedral_sin_selfai_selfbi_selfbj_selfaj_1,0.57043374,0.3288952
dihedral_cos_minusi_selfi_selfj_minusj_1,0.4605777,0.3505804
dihedral_sin_minusi_selfi_selfj_minusj_1,0.59674984,0.30769
dihedral_cos_minusi_selfi_selfj_plusj_1,0.46081787,0.32725567
dihedral_sin_minusi_selfi_selfj_plusj_1,0.5505195,0.33719876
dihedral_cos_plusi_selfi_selfj_minusj_1,0.43646297,0.3168615
dihedral_sin_plusi_selfi_selfj_minusj_1,0.5639908,0.34546208
dihedral_cos_plusi_selfi_selfj_plusj_1,0.46638986,0.34952855
dihedral_sin_plusi_selfi_selfj_plusj_1,0.6030386,0.30798015
linear_foldseek_b_1,0.45108712,0.44657063
log_foldseek_b_1,0.37860483,0.4223373
linear_foldseek_a_1,0.30210528,0.43237564
log_foldseek_a_1,0.28137618,0.3860788
u12_dist_2,0.55405325,0.49343485
u13_dist_2,0.83322936,0.68498087
u14_dist_2,0.6189386,0.5414745
u15_dist_2,0.8627694,0.7642006
u16_dist_2,0.823152,0.7240826
u17_dist_2,0.5729473,0.4981693
u18_dist_2,0.8059211,0.68796885
u19_dist_2,0.52936065,0.4570768
u20_dist_2,0.6387975,0.7129337
u21_dist_2,0.5413945,0.54998595
u22_dist_2,0.571621,0.5479542
u23_dist_2,0.36021063,0.36735794
u25_dist_2,0.42778146,0.42710468
u26_dist_2,0.5597459,0.5967894
u27_dist_2,0.55657446,0.5692345
u28_dist_2,0.67851746,0.7436228
t12_cos_2,0.09786516,0.053549416
t23_cos_2,0.04986511,0.039137572
t45_cos_2,0.2077923,0.15664095
t56_cos_2,0.16768427,0.13757493
t78_cos_2,0.19018726,0.16600849
t89_cos_2,0.32814482,0.21227309
t108_cos_2,0.2282613,0.1653594
t811_cos_2,0.3541909,0.22614874
t110_cos_2,0.31117204,0.25763226
t311_cos_2,0.31028348,0.26274166
t28_cos_2,0.38598493,0.280218
t47_cos_2,0.34871635,0.24931484
t69_cos_2,0.3639367,0.259439
t75_cos_2,0.20428519,0.1629187
t95_cos_2,0.19344537,0.15509303
t42_cos_2,0.12765975,0.10772416
t62_cos_2,0.12898988,0.10284417
t25_cos_2,0.24679977,0.19627883
t85_cos_2,0.26913482,0.20446698
dihedral_cos_selfai_selfbi_selfbj_selfaj_2,0.47425604,0.3250602
dihedral_sin_selfai_selfbi_selfbj_selfaj_2,0.60146713,0.3323717
dihedral_cos_minusi_selfi_selfj_minusj_2,0.46446845,0.33923423
dihedral_sin_minusi_selfi_selfj_minusj_2,0.59302694,0.31374335
dihedral_cos_minusi_selfi_selfj_plusj_2,0.48150042,0.3380829
dihedral_sin_minusi_selfi_selfj_plusj_2,0.55577016,0.3279283
dihedral_cos_plusi_selfi_selfj_minusj_2,0.47285497,0.32964915
dihedral_sin_plusi_selfi_selfj_minusj_2,0.5618237,0.32510123
dihedral_cos_plusi_selfi_selfj_plusj_2,0.46958786,0.33398384
dihedral_sin_plusi_selfi_selfj_plusj_2,0.5944987,0.31707412
linear_foldseek_b_2,0.4198164,0.425565
log_foldseek_b_2,0.42632213,0.45763385
linear_foldseek_a_2,0.31874686,0.3416921
log_foldseek_a_2,0.30250245,0.3523608
u12_dist_3,0.52175874,0.43236718
u13_dist_3,0.8091462,0.69793224
u14_dist_3,0.5519344,0.46293914
u15_dist_3,0.843991,0.7398797
u16_dist_3,1.0053911,0.8091825
u17_dist_3,0.5815865,0.49933696
u18_dist_3,0.73735917,0.62187654
u19_dist_3,0.84084785,0.77211136
u20_dist_3,0.7795354,0.87014115
u21_dist_3,0.55512685,0.57440776
u22_dist_3,0.58172774,0.6050749
u23_dist_3,0.52913785,0.5562442
u25_dist_3,0.55046785,0.5504435
u26_dist_3,0.5763462,0.6017143
u27_dist_3,0.5560115,0.5694647
u28_dist_3,0.79137945,0.87647367
t12_cos_3,0.08765617,0.055854693
t23_cos_3,0.054454286,0.041700754
t45_cos_3,0.17983592,0.14402007
t56_cos_3,0.1715673,0.13796593
t78_cos_3,0.18887088,0.16648841
t89_cos_3,0.33341867,0.20914409
t108_cos_3,0.22785798,0.16762976
t811_cos_3,0.3502782,0.22977546
t110_cos_3,0.31549275,0.26574048
t311_cos_3,0.3110541,0.2702457
t28_cos_3,0.42090255,0.30364418
t47_cos_3,0.36355013,0.256419
t69_cos_3,0.3801569,0.2734079
t75_cos_3,0.18888849,0.15091288
t95_cos_3,0.21969612,0.1639204
t42_cos_3,0.1306888,0.11001997
t62_cos_3,0.13409457,0.10540027
t25_cos_3,0.25102076,0.20450145
t85_cos_3,0.2752552,0.20752783
dihedral_cos_selfai_selfbi_selfbj_selfaj_3,0.50078315,0.35353917
