Feature,Mean Error,Stddev Error,Mean True,Stddev True,Max True,Min True
sasa_N,0.18526813405233572,0.1313193524687091,0.33196777,0.25018448,1.0748165,0.0
cx_N,0.011685975225868516,0.008770647254352665,0.010547956,0.007337196,0.04806369,-0.0008023717
rd_value_N,0.06473296291478779,0.06303247418322616,0.27078095,0.09802444,1.3266011,0.14516236
sasa_CA,0.04021878454685784,0.036181000757340744,0.050768085,0.06671542,0.6670114,0.0
cx_CA,0.008040275610068018,0.006106204915318877,0.010826131,0.007540819,0.04806369,-0.00089657377
rd_value_CA,0.04469402808677664,0.058959703236544626,0.29349837,0.08651128,1.4259534,0.07608753
sasa_C,0.05352534951920488,0.045198428516180014,0.080501504,0.10272403,0.6198172,0.0
cx_C,0.011520693845455827,0.008549523221545462,0.010568218,0.0073618283,0.05100177,-0.00083427085
rd_value_C,0.05131695927784783,0.05905950427232392,0.27504537,0.09385539,1.3546032,0.18543035
sasa_O,0.07956736375511356,0.056875496271573595,0.21405388,0.20069277,0.9462533,0.0
cx_O,0.012799090098151411,0.009877199165831942,0.010813622,0.007583541,0.054285496,-0.00083427085
rd_value_O,0.07075380432315297,0.06779870568465969,0.23027396,0.112759784,1.3918567,0.17891231
cx_min,0.007973740308616398,0.006064049620341093,0.009658105,0.0072433786,0.040852055,-0.00091184647
cx_max,0.011137804371449771,0.008597630774358052,0.014616189,0.009579817,0.08652577,0.0
cx_avg,0.011782365141450417,0.009078652734181748,0.011637969,0.0078119747,0.05087673,-0.00078907714
cx_std,0.010200325839719677,0.00815616754668918,0.003269863,0.0031724346,0.042615905,0.0
u12_dist_0,1.4965143931341773,1.1417257921200923,10.116826,2.969618,24.280287,2.981121
u13_dist_0,1.3226036769965015,0.9761120407617505,9.200054,3.0177763,21.126232,2.9876027
u14_dist_0,1.5251098793295057,1.1076914284111057,10.56488,4.5719137,27.258986,2.467331
u15_dist_0,1.2867612171289122,0.9153181704551031,9.521025,3.0039353,20.317888,3.3483791
u16_dist_0,1.2519573129963049,0.91694637882373,9.509838,2.8446429,21.126232,3.039174
u17_dist_0,1.5416301313692045,1.0994433821286982,10.658482,4.5882545,26.197105,2.467331
u18_dist_0,1.345633739254772,0.9964435510111973,9.266264,2.9013839,21.361044,2.7461047
u19_dist_0,1.469844434908168,1.143655592541663,10.108839,2.9475,25.183289,2.6216016
nearest_distances_cb_0,0.9862551992877067,0.720107921078223,7.4149294,2.5387278,15.771277,2.6216016
u20_dist_0,1.041053002283837,0.7437003364034671,7.82126,2.0380585,15.171163,3.131608
u21_dist_0,0.9433483481368999,0.6366976537941932,7.552255,2.8812826,19.365475,3.131608
u22_dist_0,1.1893141175336215,0.9564868642683847,7.715464,4.748837,24.192976,2.6342688
u23_dist_0,0.9390894134577299,0.5962517423202689,7.6109004,2.8085747,19.34301,3.7147005
u25_dist_0,0.94955670912974,0.6337028998863146,7.661477,2.8188553,19.352942,3.7864175
u26_dist_0,1.1738943662519468,0.8977868042745275,7.672382,4.705291,24.179768,2.6342688
u27_dist_0,0.9555880395949494,0.6223135440771217,7.5422883,2.8207529,19.349558,3.5232306
u28_dist_0,1.0760880232834362,0.7539184907823704,7.8654137,2.0457017,16.931412,3.131608
nearest_distances_ca_0,0.8337053270676442,0.4712564635006754,7.20316,2.138681,14.513818,3.131608
t12_cos_0,0.059129169204697615,0.0428406153340507,-0.45915186,0.30151474,0.5746034,-0.99995625
t23_cos_0,0.05348964865954911,0.03963151443244457,-0.15787381,0.43838012,0.90415776,-0.9965343
t45_cos_0,0.20838777903114405,0.17021034546072356,-0.032295033,0.57778513,0.99998283,-0.9999445
t56_cos_0,0.21380284291075755,0.16986851869150996,-0.02162677,0.55128723,0.9998506,-0.9999674
t78_cos_0,0.18616523256081355,0.18240754073721502,-0.7108969,0.26094288,0.7490388,-0.9999853
t89_cos_0,0.2782895519008616,0.21631081318244075,-0.48026752,0.40153813,0.9975159,-0.9999832
t108_cos_0,0.21996040501033476,0.16075962343417705,-0.47674507,0.29798084,0.5746034,-0.99995625
t811_cos_0,0.3137841248045313,0.21339958090663907,-0.13603126,0.44917002,0.90415776,-0.9954463
t110_cos_0,0.19904638741984726,0.20046745093753607,0.39711085,0.6035139,0.99999934,-0.99984694
t311_cos_0,0.2154021079108899,0.2224420397986554,0.39763477,0.6017562,0.9999823,-0.9998481
t28_cos_0,0.2449545030681265,0.1952169138659803,0.23817798,0.5783386,0.99995446,-0.9999038
t47_cos_0,0.27548675870869427,0.22306039215059117,0.2861607,0.5585184,0.9999459,-0.999868
t69_cos_0,0.29590395779581247,0.2400928889018773,0.27326116,0.558673,0.9999868,-0.999717
t75_cos_0,0.20251022791386342,0.15974796591345616,-0.02835665,0.57467085,0.9999627,-0.99998283
t95_cos_0,0.23599602041772666,0.1839633226910539,-0.027808767,0.5530791,0.9999674,-0.9999179
t42_cos_0,0.11196246499218297,0.10777527113101394,-0.7028666,0.27032402,0.7490388,-0.9999953
t62_cos_0,0.11457655666686863,0.09738101723261508,-0.49050176,0.39840356,0.9975159,-0.9999832
t25_cos_0,0.23195620573773582,0.17393580091462782,0.021933254,0.452162,0.9996928,-0.9999925
t85_cos_0,0.24710199101598593,0.17723134449674063,0.03347566,0.45913795,0.9996303,-0.999272
dihedral_cos_selfai_selfbi_selfbj_selfaj_0,0.299469028708633,0.2704725994320647,0.22325452,0.68999964,1.0,-0.99999994
dihedral_sin_selfai_selfbi_selfbj_selfaj_0,0.47316409890528793,0.29851115491476105,-0.0949329,0.6819422,1.0,-0.99999994
dihedral_cos_minusi_selfi_selfj_minusj_0,0.3062302365575058,0.28005510347220086,0.0871598,0.730097,1.0,-1.0
dihedral_sin_minusi_selfi_selfj_minusj_0,0.512572970736516,0.3036071940498014,-0.0096749645,0.67470866,1.0,-1.0
dihedral_cos_minusi_selfi_selfj_plusj_0,0.37871402298956686,0.2960819654994301,0.070788875,0.71007574,1.0,-1.0
dihedral_sin_minusi_selfi_selfj_plusj_0,0.5002348529230951,0.31101017689520966,-0.011732875,0.6972046,1.0,-1.0
dihedral_cos_plusi_selfi_selfj_minusj_0,0.43199746208654993,0.30994718416840794,0.074096054,0.70983124,1.0,-1.0
dihedral_sin_plusi_selfi_selfj_minusj_0,0.4644445358255828,0.3083832600227943,-0.040831674,0.69638205,1.0,-1.0
dihedral_cos_plusi_selfi_selfj_plusj_0,0.3347083503543326,0.3033640976559837,0.09435789,0.7264397,1.0,-1.0
dihedral_sin_plusi_selfi_selfj_plusj_0,0.5031825733525266,0.3058579364940446,-0.063560255,0.674386,1.0,-1.0
linear_foldseek_b_0,0.8682195496267551,0.791262461747772,0.032528654,4.235315,6.0,-6.0
log_foldseek_b_0,0.5627410546219013,0.5686656784405472,0.009820706,2.3576374,7.3065314,-7.4448333
linear_foldseek_a_0,0.730709289728912,0.6932497702731518,-0.019754114,3.775769,6.0,-6.0
log_foldseek_a_0,0.4553288631916443,0.44791645527549856,-0.013363532,1.9922489,7.3065314,-7.3072023
u12_dist_1,1.528200698118704,1.1913289125185664,10.453692,3.1869276,27.53012,2.981121
u13_dist_1,1.4387602352291458,1.0572288097140878,9.763757,3.1741874,23.922697,2.7461128
u14_dist_1,1.643240552725007,1.158482389007807,10.9988985,4.7183304,28.338497,2.0381732
u15_dist_1,1.2850524713556906,0.9341657179159389,9.914513,3.2169695,23.922697,2.9862733
u16_dist_1,1.4317436381690731,1.0285093145113373,10.049535,3.2654343,22.506165,2.7461047
